UUID;Version;Name (de);Name (en);Kategorie (original);Kategorie (en);Konformität;Laenderkennung;Typ;Referenzjahr;Gueltig bis;URL;Declaration owner;Veroeffentlicht am;Registrierungsnummer;Registrierungsstelle;UUID des Vorgängers;Version des Vorgängers;URL des Vorgängers;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;biogener Kohlenstoffgehalt in kg;biogener Kohlenstoffgehalt (Verpackung) in kg;Modul;Szenario;Szenariobeschreibung;GWP;ODP;POCP;AP;EP;ADPE;ADPF;PERE;PERM;PERT;PENRE;PENRM;PENRT;SM;RSF;NRSF;FW;HWD;NHWD;RWD;CRU;MFR;MER;EEE;EET;AP (A2);GWPtotal (A2);GWPbiogenic (A2);GWPfossil (A2);GWPluluc (A2);ETPfw (A2);PM (A2);EPmarine (A2);EPfreshwater (A2);EPterrestrial (A2);HTPc (A2);HTPnc (A2);IRP (A2);SOP (A2);ODP (A2);POCP (A2);ADPF (A2);ADPE (A2);WDP (A2);
6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8;00.03.000;Innenverzinnte Kupfer-Hausinstallationsrohre;;'Metalle' / 'Kupfer' / 'Kupferrohre';'Metals' / 'Copper' / 'Copper pipes';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2015;2020;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8?version=00.03.000;KME;;;;;;;1;kg;f1d53749-4249-1f8b-0099-78c39850621e;Innenverzinnte Kupfer-Hausinstallationsrohre / 1kg Kupferrohr;;;;;;;;;;A1-A3;;;3.5;0.0000000000867;0.000709;0.0101;0.00103;0.0000156;40.6;5.33;0;5.33;45.5;0;45.5;0;0;0;0.0161;0.00448;0.03;0.00193;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8;00.03.000;Innenverzinnte Kupfer-Hausinstallationsrohre;;'Metalle' / 'Kupfer' / 'Kupferrohre';'Metals' / 'Copper' / 'Copper pipes';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2015;2020;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8?version=00.03.000;KME;;;;;;;1;kg;f1d53749-4249-1f8b-0099-78c39850621e;Innenverzinnte Kupfer-Hausinstallationsrohre / 1kg Kupferrohr;;;;;;;;;;C4;;;0.000949;0.0000000000000119;0.000000575;0.00000603;0.000000827;0.000000000357;0.0125;0.00108;;0.00108;0.013;;0.013;0;0;0;-0.0000394;0.000000591;0.0701;0.000000227;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8;00.03.000;Innenverzinnte Kupfer-Hausinstallationsrohre;;'Metalle' / 'Kupfer' / 'Kupferrohre';'Metals' / 'Copper' / 'Copper pipes';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2015;2020;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/6b2b9708-14d8-4f3a-8a75-0b7481c5e0f8?version=00.03.000;KME;;;;;;;1;kg;f1d53749-4249-1f8b-0099-78c39850621e;Innenverzinnte Kupfer-Hausinstallationsrohre / 1kg Kupferrohr;;;;;;;;;;D;;;-0.729;-0.00000000000386;-0.000219;-0.0039;-0.000336;-0.00000843;-5.96;-1.14;;-1.14;-6.52;;-6.52;0;0;0;-0.00534;-0.000215;-0.00444;-0.0002;;;;;;;;;;;;;;;;;;;;;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;BauderTHERMOFOL U / M;'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen';'Plastics' / 'Roofing membranes' / 'PVC sheet';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2016;2021;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d06b1df-e898-4009-adee-57ca44aaafcc?version=00.05.000;Paul Bauder GmbH & Co. KG;;;;;;;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;;;A1-A3;;;5.18;0.0000000759;0.00281;0.0167;0.0142;0.0131;118;7.75;1.46;9.22;81.3;43.2;124;0.0805;0;0;1.86;0.0000731;0.259;0.00205;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;BauderTHERMOFOL U / M;'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen';'Plastics' / 'Roofing membranes' / 'PVC sheet';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2016;2021;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d06b1df-e898-4009-adee-57ca44aaafcc?version=00.05.000;Paul Bauder GmbH & Co. KG;;;;;;;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;;;A4;;;0.0632;0.000000000000288;-0.0000934;0.000273;0.0000669;0.00000000417;0.864;0.0491;0;0.0491;0.867;0;0.867;0;0;0;0.000123;0;0.0000729;0.00000124;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;BauderTHERMOFOL U / M;'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen';'Plastics' / 'Roofing membranes' / 'PVC sheet';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2016;2021;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d06b1df-e898-4009-adee-57ca44aaafcc?version=00.05.000;Paul Bauder GmbH & Co. KG;;;;;;;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;;;A5;;;0.242;0.0000000000686;0.0000209;0.000345;0.0000288;0.0000000519;1.14;0.484;0;0.484;1.79;0;1.79;0;0;0;0.00108;0;0.0318;0.000257;0;0;0.0792;0.164;0.46;;;;;;;;;;;;;;;;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;BauderTHERMOFOL U / M;'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen';'Plastics' / 'Roofing membranes' / 'PVC sheet';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2016;2021;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d06b1df-e898-4009-adee-57ca44aaafcc?version=00.05.000;Paul Bauder GmbH & Co. KG;;;;;;;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;;;C2;S1;Recyling-Route;0.0237;0.000000000000108;-0.0000617;0.000147;0.0000369;0.00000000157;0.324;0.0184;0;0.0184;0.325;0;0.325;0;0;0;0.0000462;0;0.0000274;0.000000465;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;BauderTHERMOFOL U / M;'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen';'Plastics' / 'Roofing membranes' / 'PVC sheet';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2016;2021;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d06b1df-e898-4009-adee-57ca44aaafcc?version=00.05.000;Paul Bauder GmbH & Co. KG;;;;;;;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;;;C2;S2;MVA-Route;0.00827;0.0000000000000377;-0.0000215;0.0000514;0.0000129;0.000000000546;0.113;0.00643;0;0.00643;0.113;0;0.113;0;0;0;0.0000161;0;0.00000953;0.000000162;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;BauderTHERMOFOL U / M;'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen';'Plastics' / 'Roofing membranes' / 'PVC sheet';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2016;2021;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d06b1df-e898-4009-adee-57ca44aaafcc?version=00.05.000;Paul Bauder GmbH & Co. KG;;;;;;;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;;;C3;S1;Recyling-Route;0.0123;0.00000000000874;0.00000236;0.0000343;0.00000307;0.00000000382;0.133;0.0601;0;0.0601;0.215;0;0.215;0;0;0;0.0000927;0;0.000129;0.0000324;0;1.67;0;0;0;;;;;;;;;;;;;;;;;;;;
8d06b1df-e898-4009-adee-57ca44aaafcc;00.05.000;BauderTHERMOFOL;BauderTHERMOFOL U / M;'Kunststoffe' / 'Dachbahnen' / 'PVC-Dachbahnen';'Plastics' / 'Roofing membranes' / 'PVC sheet';'DIN EN 15804' / 'ISO 14025';DE;average dataset;2016;2021;https://www.oekobaudat.de/OEKOBAU.DAT/resource/processes/8d06b1df-e898-4009-adee-57ca44aaafcc?version=00.05.000;Paul Bauder GmbH & Co. KG;;;;;;;1;qm;d21fe6c4-dcef-bd20-9458-9aad442df0c8;1 m² BauderTHERMOFOL U (12/15/18/20/24), U (15/18/20) V und M (12/15/18/20);;1.938;;;;;;;;C3;S2;MVA-Route;4.5;0.000000000027;0.00013;0.006;0.000206;0.00000197;7.8;1.33;0;1.33;8.63;0;8.63;0;0;0;0.00933;0;2.79;0.000329;0;0;1.86;4.09;11.5;;;;;;;;;;;;;;;;;;;;
