oekobaudatProcessUuid,oekobaudatDatastockUuid,oekobaudatDatastockName,productId,tBaustoffVersion,productName,eolCategoryId,eolCategoryName,eolScenarioUnbuiltReal,eolScenarioUnbuiltPotential,technologyFactor
3b1f0c75-07a4-4182-b310-5529fc5b54a6,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,1,2024-Q4,Acetyliertes Holz ,1,Holz - acetyliert,EV+,EV+,0.0
0dec19c7-53db-4cb9-bbba-4d44d3da62a9,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,1,2024-Q4,Acetyliertes Holz ,1,Holz - acetyliert,EV+,EV+,0.0
bd6d6d89-b76d-4002-a217-afffbb8aa308,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,2,2024-Q4,Aluminium Profil,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
fdc99ab8-d843-44ec-a66c-92367d244321,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,2,2024-Q4,Aluminium Profil,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
3feca796-791b-46d3-8160-95ef243ffb9d,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,2,2024-Q4,Aluminium Profil,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
a4c1c27c-53a0-4027-83f6-88c52c758bb1,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,3,2024-Q4,Aluminiumblech,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
f0f13788-bc1b-44d4-9f37-082a6d22b432,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,3,2024-Q4,Aluminiumblech,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
143a4df2-563e-4ef9-b75b-90e1cf9f7ef9,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,3,2024-Q4,Aluminiumblech,2,Alu unbeschichtet od. eloxiert (Sz. Knetleg zu Guss),RC+,CL+,0.75
55a89d7b-b585-404f-be34-bb7285730a89,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,4,2024-Q4,Armierung (für Kunstharzspachtel),3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
5c847387-b2b3-4ad5-8a11-e55488f957f6,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,4,2024-Q4,Armierung (für Kunstharzspachtel),3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
d4a53a6a-2a78-4f43-90e1-aca206cb5668,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,4,2024-Q4,Armierung (für Kunstharzspachtel),3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
b8a9dd13-100b-40bf-b982-06937c4c5f65,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,101,2024-Q4,Glasfaser-Armierung,3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
b3bb06b1-fefb-4e57-99ee-aa113000343b,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,101,2024-Q4,Glasfaser-Armierung,3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
fa976ebb-09ce-4e5b-9976-621d9ac1f12e,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,103,2024-Q4,Glasvlies,3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
49ff9df1-d12d-48f6-a391-0d72d695ffcf,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,103,2024-Q4,Glasvlies,3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
71be07b3-39ff-47ce-b1c9-9c536daeb56e,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,103,2024-Q4,Glasvlies,3,"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung",EB,EB,0.0
,,,5,2024-Q4,Asphalttragschicht - Hochbau,4,Asphalt (Hochbau),Dep+,CL+,0.75
ad94ce55-af1d-4da0-963c-bf263aaa37ee,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,107,2024-Q4,Gussasphalt,4,Asphalt (Hochbau),Dep+,CL+,0.75
2d7f6993-c585-4674-b030-348434efeaca,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,107,2024-Q4,Gussasphalt,4,Asphalt (Hochbau),Dep+,CL+,0.75
b29d88ed-8621-4ece-9e2f-78af05cb3f0f,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,107,2024-Q4,Gussasphalt,4,Asphalt (Hochbau),Dep+,CL+,0.75
19f46be3-d65a-441f-8d74-dfc412160cf1,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,287,2024-Q4,Splittmastixasphalt SMA,4,Asphalt (Hochbau),Dep+,CL+,0.75
78fb80c2-6d74-49fe-97fa-4d436af75106,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,287,2024-Q4,Splittmastixasphalt SMA,4,Asphalt (Hochbau),Dep+,CL+,0.75
d24a85e3-f395-4124-9874-c01f977a893f,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,287,2024-Q4,Splittmastixasphalt SMA,4,Asphalt (Hochbau),Dep+,CL+,0.75
85de02e5-2782-4050-9c01-c5de3849fbce,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,6,2024-Q4,Asphalttragschicht - Infrastruktur,5,Asphalt (Infrastrukturbau),RC+,CL+,0.75
f34786e7-0953-4085-9f3d-955481cdd4ea,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,6,2024-Q4,Asphalttragschicht - Infrastruktur,5,Asphalt (Infrastrukturbau),RC+,CL+,0.75
9795c91c-0918-46fa-8a51-47deb180c271,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,6,2024-Q4,Asphalttragschicht - Infrastruktur,5,Asphalt (Infrastrukturbau),RC+,CL+,0.75
,,,7,2024-Q4,"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen",6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
8041ec07-5885-40dc-bfc9-190013f6749b,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,38,2024-Q4,Brettschichtholz Nadelholz,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
c816b036-6bdf-48e5-8ef8-a76d7872f589,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,38,2024-Q4,Brettschichtholz Nadelholz,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
86138863-3c1c-4345-9ae9-03ba28a5f9a7,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,38,2024-Q4,Brettschichtholz Nadelholz,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,39,2024-Q4,Brettsperrholz,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
,,,157,2024-Q4,Konstruktionsvollholz - naturbelassen,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
08bbc2e2-1513-4ce3-816e-99e95fdafc4e,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,267,2024-Q4,Schnittholz Buche ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
47522e31-78c8-43ea-aac4-c7c9d6ca30ab,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,267,2024-Q4,Schnittholz Buche ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
67b6c807-3924-4bc5-b983-6aeff6537e45,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,267,2024-Q4,Schnittholz Buche ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
7ec1d463-fd99-4b1d-9a57-9a72cac408d2,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,268,2024-Q4,Schnittholz Eiche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
54343f3c-d101-4dd4-883f-0515c44e38de,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,268,2024-Q4,Schnittholz Eiche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
17bcb2ce-39fd-400b-baf9-370c63589efd,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,268,2024-Q4,Schnittholz Eiche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
3057d7c0-7bee-4ba2-9edf-517d4cd97a14,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,269,2024-Q4,Schnittholz Fichte,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
5f5a9cef-8b0a-4a8a-9828-9a681e5ee399,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,269,2024-Q4,Schnittholz Fichte,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
f00557bd-5b73-4624-8c7b-834db8e8b106,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,269,2024-Q4,Schnittholz Fichte,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
aea021e8-7e2f-4f6b-ae3f-a76cba4c5d6e,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,270,2024-Q4,Schnittholz Kiefer ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
d171cb17-81c4-41c9-9e14-0da45be14221,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,270,2024-Q4,Schnittholz Kiefer ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
0b87961e-ea66-4757-b483-229ece59cb97,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,270,2024-Q4,Schnittholz Kiefer ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
8c47fba4-0e61-48d1-a03f-bf17911f0dae,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,271,2024-Q4,Schnittholz Lärche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
9d1d96af-3f9b-41fb-bd33-43ec9e2fd1fd,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,271,2024-Q4,Schnittholz Lärche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
9f6cf0e4-7455-4c31-a99f-552926c4040e,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,271,2024-Q4,Schnittholz Lärche,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
d7073560-4c4b-4cb0-b6bf-a902950c5109,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,272,2024-Q4,Schnittholz Zeder ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
de1d54e8-8211-416b-9ff6-cebeb5123c71,22885a6e-1765-4ade-a35e-ae668bd07256,OBD_2023_I,272,2024-Q4,Schnittholz Zeder ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
8bed6eec-b795-4585-b036-77f4344c1cf9,ca70a7e6-0ea4-4e90-a947-d44585783626,OBD_2024_I,272,2024-Q4,Schnittholz Zeder ,6,"Holz - massiv, naturbelassen",RC+,CL+,0.75
ac361408-4ede-4ed2-a638-598ee3c53285,448d1096-2017-4901-a560-f652a83c737e,OBD_2020_II,8,2024-Q4,Balkenschichtholz Nadelholz - beschichtet,7,"Holz - massiv, beschichtet",RC+,CL-,1.0
